,gene_ids-0
RP23-271O17.1,ENSMUSG00000102693.1
Gm26206,ENSMUSG00000064842.1
Xkr4,ENSMUSG00000051951.5
RP23-317L18.1,ENSMUSG00000102851.1
RP23-317L18.4,ENSMUSG00000103377.1
RP23-317L18.3,ENSMUSG00000104017.1
RP23-115I1.6,ENSMUSG00000103025.1
Gm1992,ENSMUSG00000089699.1
RP23-115I1.5,ENSMUSG00000103201.1
RP23-115I1.2,ENSMUSG00000103147.1
RP23-115I1.3,ENSMUSG00000103161.1
RP23-122M2.3,ENSMUSG00000102331.1
RP23-122M2.2,ENSMUSG00000102348.1
RP23-122M2.1,ENSMUSG00000102592.1
Gm27396,ENSMUSG00000088333.2
RP23-333I7.1,ENSMUSG00000102343.1
RP23-177A20.1,ENSMUSG00000102948.1
Rp1,ENSMUSG00000025900.6
RP23-391E12.2,ENSMUSG00000104123.1
Sox17,ENSMUSG00000025902.9
RP23-285G23.2,ENSMUSG00000104238.1
RP23-285G23.3,ENSMUSG00000102269.1
Gm22307,ENSMUSG00000096126.1
RP23-285G23.4,ENSMUSG00000103003.1
RP23-37D15.1,ENSMUSG00000104328.1
RP23-37D15.2,ENSMUSG00000102735.1
Gm6085,ENSMUSG00000098104.1
RP23-34E15.2,ENSMUSG00000102175.1
Gm25493,ENSMUSG00000088000.1
RP23-34E15.3,ENSMUSG00000103265.1
RP23-34E15.4,ENSMUSG00000103922.1
Mrpl15,ENSMUSG00000033845.9
RP23-34E15.5,ENSMUSG00000102275.1
Lypla1,ENSMUSG00000025903.10
RP24-426M1.3,ENSMUSG00000104217.1
Tcea1,ENSMUSG00000033813.11
Gm6104,ENSMUSG00000062588.4
RP24-426M1.4,ENSMUSG00000103280.1
Rgs20,ENSMUSG00000002459.13
Gm17100,ENSMUSG00000091305.1
RP24-141F9.2,ENSMUSG00000102653.1
Gm16041,ENSMUSG00000085623.1
Gm17101,ENSMUSG00000091665.1
Atp6v1h,ENSMUSG00000033793.8
RP23-267J18.2,ENSMUSG00000104352.1
RP23-267J18.1,ENSMUSG00000104046.1
RP23-335P21.1,ENSMUSG00000102907.1
Oprk1,ENSMUSG00000025905.9
RP23-238E7.2,ENSMUSG00000103936.1
Gm22463,ENSMUSG00000093015.1
RP23-354J2.1,ENSMUSG00000103519.1
Npbwr1,ENSMUSG00000033774.4
RP23-74E8.1,ENSMUSG00000103090.1
Rb1cc1,ENSMUSG00000025907.10
4732440D04Rik,ENSMUSG00000090031.2
Fam150a,ENSMUSG00000087247.3
RP23-76C20.3,ENSMUSG00000103355.1
RP23-76C20.2,ENSMUSG00000102706.1
RP23-76C20.4,ENSMUSG00000103845.1
St18,ENSMUSG00000033740.13
RP23-299N6.2,ENSMUSG00000103329.1
RP23-299N6.1,ENSMUSG00000104385.1
RP23-5K7.4,ENSMUSG00000102135.1
RP23-76C20.5,ENSMUSG00000103282.1
RP23-5K7.3,ENSMUSG00000102534.1
RP23-5K7.2,ENSMUSG00000102213.1
RP23-5K7.1,ENSMUSG00000103629.1
