experiment	replicates	color
EMP	18088_G8,18254_D10,19916_C5,20032_G2,20034_B3	251,200,60
chondrocyte	18251_A1,18251_A10,18251_A12,18251_A2,18251_A6,18251_A7,18252_B10,18253_C4,18253_C8,18254_D3,18254_D9,18256_F1,18256_F11,18256_F3,18256_F8,18257_G3,18264_B4,18264_B6,18270_A10,18270_A12,18270_A3,18271_B10,18271_B4,18271_B5,18271_B6,18271_B9,18272_C10,18272_C11,18272_C5,18272_C7,18273_D11,18274_E5,18274_E9,18275_F12,18275_F7,18275_F9,18313_C2,18316_F1,20028_C12,20028_C2,20029_D4,20029_D6,20030_E1,20033_A3,20035_C4,20035_C8,20035_C9,20036_D3,20036_D4,20038_F12,20038_F2,20039_A9,20040_B4,20042_D5,20043_E3,20043_E5,20046_C5	0,255,255
ectoderm	18314_D10,19910_E12,19916_C9,20035_C7,20036_D8,20037_E7,20045_B3,20045_B6	33,100,7
endothelial	17327_A9,18257_G4,19908_C1,19915_B2,19915_B8,19916_C10,20035_C3	195,156,251
macrophage	18252_B3,18255_E12,18255_E3,18312_B12,18312_B2,18313_C11,18316_F2,19912_G10,20043_E4,20046_C4	255,250,44
mesenchyme	17327_A10,17327_A11,17327_A3,17327_A5,17327_A7,17327_A8,17328_B11,17328_B12,17328_B4,17328_B6,17329_C2,17329_C4,17329_C6,17329_C7,17330_D1,17330_D12,17330_D2,17330_D4,17330_D5,17330_D8,17330_D9,17331_E2,17331_E3,17331_E6,17331_E7,17331_E8,17331_E9,17332_F1,17332_F2,17332_F3,17332_F6,17332_F8,17333_G1,17333_G3,17333_G9,17334_H1,17334_H7,18042_A1,18042_A11,18042_A12,18042_A2,18042_A3,18042_A5,18042_A6,18042_A8,18042_A9,18043_B1,18043_B10,18043_B11,18043_B12,18043_B3,18043_B4,18043_B5,18043_B6,18043_B7,18043_B8,18043_B9,18044_C1,18044_C10,18044_C11,18044_C12,18044_C2,18044_C3,18044_C4,18044_C7,18044_C8,18045_D1,18045_D10,18045_D11,18045_D12,18045_D2,18045_D4,18045_D5,18045_D6,18045_D7,18045_D8,18046_E1,18046_E10,18046_E2,18046_E6,18046_E7,18046_E9,18047_F1,18047_F10,18047_F11,18047_F12,18047_F2,18047_F3,18047_F4,18047_F5,18047_F6,18047_F7,18047_F8,18047_F9,18048_G1,18048_G10,18048_G11,18048_G12,18048_G3,18048_G5,18048_G6,18048_G7,18049_H1,18049_H10,18049_H2,18049_H3,18049_H4,18049_H5,18049_H6,18049_H7,18049_H8,18049_H9,18087_F1,18087_F10,18087_F11,18087_F12,18087_F2,18087_F3,18087_F4,18087_F5,18087_F7,18087_F9,18088_G1,18088_G10,18088_G11,18088_G12,18088_G3,18088_G5,18088_G6,18088_G7,18088_G9,18089_H1,18089_H10,18089_H11,18089_H2,18089_H3,18089_H4,18089_H5,18089_H6,18089_H7,18089_H8,18089_H9,18251_A11,18253_C1,18253_C11,18254_D5,18256_F7,18257_G7,18258_A1,18258_A10,18258_A11,18258_A12,18258_A2,18258_A3,18258_A5,18258_A6,18258_A8,18258_A9,18259_B1,18259_B10,18259_B11,18259_B12,18259_B2,18259_B3,18259_B4,18259_B5,18259_B6,18259_B7,18259_B8,18259_B9,18260_C1,18260_C10,18260_C11,18260_C12,18260_C2,18260_C3,18260_C4,18260_C5,18260_C6,18260_C7,18260_C9,18261_D1,18261_D10,18261_D11,18261_D12,18261_D2,18261_D3,18261_D4,18261_D5,18261_D6,18261_D7,18261_D8,18261_D9,18262_E1,18262_E10,18262_E12,18262_E3,18262_E5,18262_E7,18262_E8,18262_E9,18263_A10,18263_A11,18263_A12,18263_A3,18263_A4,18263_A5,18263_A6,18263_A7,18263_A8,18263_A9,18264_B1,18264_B11,18264_B12,18264_B2,18264_B3,18264_B5,18264_B7,18264_B8,18265_C1,18265_C10,18265_C11,18265_C12,18265_C2,18265_C3,18265_C4,18265_C5,18265_C7,18265_C8,18265_C9,18266_D1,18266_D10,18266_D11,18266_D12,18266_D2,18266_D3,18266_D4,18266_D5,18266_D6,18266_D7,18266_D8,18266_D9,18267_E1,18267_E10,18267_E12,18267_E2,18267_E3,18267_E4,18267_E7,18267_E8,18268_F1,18268_F10,18268_F11,18268_F12,18268_F2,18268_F3,18268_F4,18268_F5,18268_F7,18268_F8,18268_F9,18269_G1,18269_G10,18269_G11,18269_G2,18269_G3,18269_G4,18269_G5,18269_G7,18269_G8,18269_G9,18270_A1,18270_A2,18270_A5,18270_A6,18270_A7,18270_A8,18271_B11,18271_B3,18271_B7,18271_B8,18272_C1,18272_C12,18272_C2,18272_C3,18272_C4,18272_C6,18272_C8,18272_C9,18273_D1,18273_D2,18273_D4,18273_D5,18273_D6,18273_D8,18274_E1,18274_E10,18274_E11,18274_E12,18274_E2,18274_E6,18275_F1,18275_F11,18275_F2,18275_F3,18275_F5,18276_G1,18276_G2,18276_G3,18276_G5,18276_G6,18276_G7,18276_G9,18311_A4,18311_A7,18313_C1,18313_C12,18313_C7,18313_C8,18314_D12,18314_D3,18314_D4,18314_D7,18314_D8,18314_D9,18315_E12,18315_E4,18316_F3,18316_F5,18316_F8,18317_G4,18317_G6,18317_G7,19906_A1,19906_A10,19906_A11,19906_A12,19906_A2,19906_A3,19906_A4,19906_A5,19906_A6,19906_A7,19906_A8,19906_A9,19907_B1,19907_B10,19907_B11,19907_B12,19907_B2,19907_B4,19907_B5,19907_B6,19907_B7,19907_B8,19907_B9,19908_C10,19908_C11,19908_C12,19908_C2,19908_C3,19908_C4,19908_C5,19908_C6,19908_C7,19908_C8,19908_C9,19909_D1,19909_D10,19909_D12,19909_D2,19909_D3,19909_D4,19909_D5,19909_D6,19909_D7,19909_D8,19909_D9,19910_E1,19910_E10,19910_E11,19910_E2,19910_E3,19910_E4,19910_E5,19910_E6,19910_E7,19910_E8,19910_E9,19911_F1,19911_F10,19911_F11,19911_F12,19911_F2,19911_F3,19911_F4,19911_F5,19911_F6,19911_F7,19911_F8,19911_F9,19912_G11,19912_G12,19912_G2,19912_G3,19912_G4,19912_G6,19912_G7,19912_G8,19912_G9,19913_H1,19913_H10,19913_H11,19913_H12,19913_H2,19913_H3,19913_H4,19913_H5,19913_H6,19913_H7,19913_H8,19913_H9,19914_A1,19914_A10,19914_A11,19914_A2,19914_A3,19914_A4,19914_A5,19914_A6,19914_A7,19914_A8,19914_A9,19915_B1,19915_B10,19915_B11,19915_B6,19916_C12,19916_C2,19916_C8,19917_D3,19917_D6,20026_A1,20026_A10,20026_A11,20026_A2,20026_A3,20026_A4,20026_A7,20027_B10,20027_B11,20027_B12,20027_B2,20027_B3,20027_B4,20027_B5,20027_B6,20027_B7,20027_B8,20027_B9,20028_C1,20028_C10,20028_C11,20028_C3,20028_C4,20028_C5,20028_C6,20028_C7,20028_C8,20028_C9,20029_D1,20029_D11,20029_D12,20029_D2,20029_D3,20029_D5,20029_D7,20029_D8,20029_D9,20030_E10,20030_E11,20030_E12,20030_E2,20030_E3,20030_E4,20030_E5,20030_E6,20030_E7,20030_E8,20030_E9,20031_F1,20031_F10,20031_F11,20031_F12,20031_F2,20031_F3,20031_F4,20031_F5,20031_F6,20031_F7,20032_G1,20032_G3,20032_G4,20033_A1,20033_A10,20033_A11,20033_A12,20033_A2,20033_A5,20033_A7,20033_A8,20033_A9,20034_B1,20034_B10,20034_B11,20034_B12,20034_B2,20034_B4,20034_B5,20034_B7,20034_B8,20035_C1,20035_C10,20035_C11,20035_C12,20035_C2,20035_C5,20035_C6,20036_D1,20036_D10,20036_D12,20036_D2,20036_D5,20036_D6,20036_D7,20036_D9,20037_E1,20037_E10,20037_E11,20037_E12,20037_E2,20037_E3,20037_E4,20037_E5,20037_E6,20037_E8,20037_E9,20038_F10,20038_F3,20038_F4,20038_F5,20038_F6,20038_F7,20038_F8,20039_A10,20039_A5,20039_A8,20040_B11,20040_B9,20041_C3,20041_C8,20042_D10,20042_D11,20042_D12,20042_D8,20043_E1,20047_D11,20047_D5,20048_E10,20048_E5,20049_F6	0,0,0
muscle1	17327_A12,17327_A2,17327_A4,17328_B1,17328_B5,17328_B8,17329_C1,17329_C10,17329_C5,17329_C8,17329_C9,17330_D3,17331_E1,17332_F7,17332_F9,17333_G2,17333_G6,17334_H3,18042_A4,18042_A7,18043_B2,18044_C5,18044_C6,18044_C9,18046_E3,18046_E8,18048_G2,18048_G4,18048_G8,18049_H11,18088_G2,18258_A7,18260_C8,18262_E11,18262_E2,18262_E6,18264_B10,18264_B9,18265_C6,18267_E11,18267_E6,18268_F6,19907_B3,19909_D11,19914_A12,19917_D7,20026_A12,20026_A8,20026_A9,20029_D10,20031_F8,20031_F9,20032_G5,20038_F11	0,255,0
muscle2	18251_A3,18251_A5,18252_B1,18252_B11,18254_D12,18255_E11,18255_E2,18255_E4,18255_E5,18256_F2,18257_G6,18270_A11,18270_A4,18271_B2,18274_E3,18274_E7,18275_F6,18311_A6,18311_A9,18312_B11,18312_B6,18312_B8,18315_E10,18316_F11,18316_F7,18317_G2,20026_A5,20026_A6,20039_A1,20040_B12,20040_B2,20041_C1,20043_E2,20044_A12,20044_A5,20048_E11,20048_E12,20049_F3	255,131,128
muscle3	18252_B12,18252_B8,18254_D2,18255_E7,18255_E8,18263_A2,18312_B4,18313_C10,18314_D6,18315_E6,18316_F6,18317_G10,19915_B9,19917_D1,20034_B6,20036_D11,20038_F1,20040_B1,20040_B6,20042_D2,20042_D4,20044_A10,20047_D6	255,0,0
neural_crest	18255_E10,18274_E4,18312_B10,19912_G1,20039_A4,20041_C2,20042_D9,20045_B5	152,52,231
