experiment	replicates	color
EMP	18088_G8,18254_D10,19916_C5,20032_G2,20034_B3	251,200,60
chondrocyte	18251_A1,18251_A10,18251_A12,18251_A2,18251_A6,18251_A7,18252_B10,18253_C4,18253_C8,18254_D3,18254_D9,18256_F1,18256_F11,18256_F3,18256_F8,18257_G3,18264_B4,18264_B6,18270_A10,18270_A12,18270_A3,18271_B10,18271_B4,18271_B5,18271_B6,18271_B9,18272_C10,18272_C11,18272_C5,18272_C7,18273_D11,18274_E5,18274_E9,18275_F12,18275_F7,18275_F9,18313_C2,18316_F1,20028_C12,20028_C2,20029_D4,20029_D6,20030_E1,20033_A3,20035_C4,20035_C8,20035_C9,20036_D3,20036_D4,20038_F12,20038_F2,20039_A9,20040_B4,20042_D5,20043_E3,20043_E5,20046_C5	0,255,255
ectoderm	18314_D10,19910_E12,19916_C9,20035_C7,20036_D8,20037_E7,20045_B3,20045_B6	33,100,7
endothelial	17327_A9,18257_G4,19908_C1,19915_B2,19915_B8,19916_C10,20035_C3	195,156,251
macrophage	18252_B3,18255_E12,18255_E3,18312_B12,18312_B2,18313_C11,18316_F2,19912_G10,20043_E4,20046_C4	255,250,44
mesenchyme	17329_C2,17330_D2,17332_F2,17333_G9,18045_D8,18047_F10,18087_F4,18089_H7,18260_C2,18261_D4,18262_E9,18264_B12,18265_C2,18266_D5,18268_F5,18268_F7,18269_G4,18273_D1,18276_G3,18315_E12,19906_A10,19906_A12,19906_A3,19912_G6,19916_C2,20027_B8,20030_E4,20033_A12,20033_A9,20038_F10	0,0,0
muscle1	17327_A12,17327_A2,17327_A4,17328_B1,17328_B5,17328_B8,17329_C1,17329_C10,17329_C5,17329_C8,17329_C9,17330_D3,17331_E1,17332_F7,17332_F9,17333_G2,17333_G6,17334_H3,18042_A4,18042_A7,18043_B2,18044_C5,18044_C6,18044_C9,18046_E3,18046_E8,18048_G2,18048_G4,18048_G8,18049_H11,18088_G2,18258_A7,18260_C8,18262_E11,18262_E2,18262_E6,18264_B10,18264_B9,18265_C6,18267_E11,18267_E6,18268_F6,19907_B3,19909_D11,19914_A12,19917_D7,20026_A12,20026_A8,20026_A9,20029_D10,20031_F8,20031_F9,20032_G5,20038_F11	0,255,0
muscle2	18251_A3,18251_A5,18252_B1,18252_B11,18254_D12,18255_E11,18255_E2,18255_E4,18255_E5,18256_F2,18257_G6,18270_A11,18270_A4,18271_B2,18274_E3,18274_E7,18275_F6,18311_A6,18311_A9,18312_B11,18312_B6,18312_B8,18315_E10,18316_F11,18316_F7,18317_G2,20026_A5,20026_A6,20039_A1,20040_B12,20040_B2,20041_C1,20043_E2,20044_A12,20044_A5,20048_E11,20048_E12,20049_F3	255,131,128
muscle3	18252_B12,18252_B8,18254_D2,18255_E7,18255_E8,18263_A2,18312_B4,18313_C10,18314_D6,18315_E6,18316_F6,18317_G10,19915_B9,19917_D1,20034_B6,20036_D11,20038_F1,20040_B1,20040_B6,20042_D2,20042_D4,20044_A10,20047_D6	255,0,0
neural_crest	18255_E10,18274_E4,18312_B10,19912_G1,20039_A4,20041_C2,20042_D9,20045_B5	152,52,231
perichondrium	18252_B4,18253_C5,18253_C7,18253_C7,18254_D11,18254_D4,18256_F4,18257_G5,18273_D9,18311_A2,18312_B1,18313_C3,18315_E2,18316_F9,18317_G5,19917_D2,20027_B1,20039_A11,20041_C6,20041_C6,20041_C9,20041_C9,20044_A3,20044_A6,20045_B11,20045_B2,20045_B4,20048_E3,20049_F2,20049_F5	1,24,250
