experiment	replicates
Muscle_3_only_protein	18317_G10,20040_B1,20044_A10,20042_D4,18255_E8,18254_D2,18252_B12,20042_D2,18314_D6,18313_C10,20047_D6,19917_D1,18312_B4,18315_E6,18255_E7,18316_F6,20036_D11,19915_B9,20040_B6,20038_F1,20034_B6,18263_A2,18252_B8
Muscle_2_only_protein	18255_E4,18256_F2,18255_E5,18252_B11,20048_E11,18311_A9,18255_E11,20044_A12,18251_A5,20039_A1,20040_B12,20044_A5,18312_B11,18317_G2,20049_F3,20048_E12,18252_B1,18311_A6,20043_E2,18315_E10,18275_F6,18316_F11,20026_A5,20026_A6,18270_A4,18316_F7,18312_B6,18274_E7,18254_D12,18251_A3,20040_B2,20041_C1,18312_B8,18257_G6,18271_B2,18274_E3,18255_E2,18270_A11
Muscle_1_only_protein	20031_F8,20026_A12,17327_A4,17327_A12,19909_D11,18048_G2,18048_G8,18044_C6,19907_B3,18042_A7,18043_B2,18044_C9,17329_C5,18046_E8,17329_C10,18267_E6,17332_F7,17333_G6,18260_C8,18046_E3,18088_G2,18042_A4,18049_H11,18044_C5,19914_A12,18048_G4,18267_E11,18264_B10,18262_E11,18262_E6,20031_F9,19917_D7,17332_F9,18264_B9,18265_C6,18268_F6,20032_G5,20029_D10,17331_E1,20038_F11,18262_E2,17333_G2,17334_H3,17330_D3,17328_B1,17329_C9,18258_A7,17327_A2,17329_C1,17328_B5,17329_C8,17328_B8,20026_A9,20026_A8
Mesenchyme2_+_Unknown_only_protein	20033_A7,20033_A8,20029_D1,20031_F11,20033_A12,18314_D12,20040_B11,20033_A11,20033_A10,20033_A9,20036_D7,20036_D9,18272_C2,19915_B10,20037_E12,20042_D10,20031_F7,20037_E1,19916_C12,20031_F10,19916_C2,18253_C11,20041_C8,18313_C7,20030_E11,19911_F6,19909_D5,20034_B1,18265_C4,18314_D7,20037_E5,20038_F7,20028_C9,20026_A4,18316_F5,19915_B6,20031_F2,19911_F12,20049_F6,18272_C8,18276_G1,18271_B7,20036_D2,18254_D5,20030_E9,20037_E11,20027_B12,20027_B9,20034_B12,18270_A7,20035_C2,18273_D2,20032_G1,18272_C12,20028_C3,20042_D11,18271_B8,19908_C8,20035_C12,20034_B8,20034_B4,20038_F5,20041_C3,18313_C1,20043_E1,18314_D3,18043_B8,18262_E9,18266_D4,18265_C12,18263_A6,18274_E12,17327_A5,18260_C11,18262_E5,18087_F12,18262_E10,18274_E6,18271_B3,18257_G7,20028_C4,17327_A3,20038_F4,18048_G12,20034_B2,19911_F1,20026_A2,18264_B12,17328_B12,18266_D12,18266_D3,18256_F7,18269_G3,17330_D2,18262_E8,18270_A5,18044_C12,19908_C3,18087_F2,18089_H3,17329_C7,17327_A7,17328_B6,17328_B4,19907_B2,19906_A1,19914_A4,18047_F5,19914_A3,18048_G5,17331_E8,17330_D8,17327_A8,17327_A11,17329_C2,18265_C7,20027_B4,18270_A6,18270_A2,18089_H6,18258_A3,18258_A1,19911_F9,19912_G6,18049_H8,18265_C5,20033_A5,20033_A1,20026_A7,20029_D11,19912_G2,18049_H1,20037_E4,20032_G3,20027_B11,20037_E10,18264_B7,18317_G4,20038_F10,18316_F3,20037_E6,20031_F3,20031_F4,18261_D9,17330_D5,18046_E6,19908_C7,18264_B8,18047_F12,17333_G9,18049_H3,19906_A9,19913_H8,19912_G3,18262_E3,20037_E2,19917_D3,17330_D1,18262_E12,17331_E9,18088_G9,18048_G1,18043_B12,18045_D12,18049_H4,20029_D8,19913_H3,18045_D4,18265_C9,18273_D8,18089_H11,18268_F3,18047_F4,18043_B1,18043_B11,18047_F1,19911_F11,18261_D4,17331_E2,18259_B4,18047_F2,17332_F8,17328_B11,18259_B7,19908_C6,18087_F10,19909_D4,20031_F5,18258_A5,18042_A6,18261_D8,19911_F10,18260_C1,18268_F8,18272_C6,18267_E4,18269_G5,18042_A12,18046_E9,18269_G4,18261_D5,18044_C1,18260_C10,17330_D9,20030_E8,20030_E7,18267_E8,20034_B5,19906_A4,20037_E9,18265_C2,18314_D8,18315_E4,20035_C1,19908_C9,20030_E6,19909_D6,19909_D2,19907_B7,19915_B11,18267_E7,18272_C1,18263_A3,18274_E11,20034_B10,19916_C8,20035_C5,20027_B7,19913_H10,17330_D12,19910_E4,19909_D7,19912_G8,18260_C6,18044_C11,18259_B8,18263_A8,19908_C5,18042_A11,19909_D8,19906_A6,19912_G9,18045_D1,18263_A4,19912_G4,18263_A12,18087_F5,18087_F11,18087_F1,17333_G3,18047_F7,19906_A8,20036_D1,20028_C10,19911_F2,18089_H2,19906_A5,19913_H7,19914_A7,19906_A7,19907_B1,18266_D1,20033_A2,18260_C9,18045_D11,18268_F7,18089_H4,18044_C8,19907_B10,19912_G11,19913_H6,19909_D1,19915_B1,18268_F10,19907_B6,18267_E2,18275_F3,18259_B5,19913_H2,18262_E1,18088_G1,18087_F3,18088_G7,18270_A8,19914_A2,18045_D6,18267_E10,18273_D6,18260_C3,18049_H7,17334_H1,18264_B1,18087_F9,20030_E4,20038_F8,19913_H12,20031_F12,20029_D5,18260_C2,18315_E12,18042_A8,17334_H7,18088_G10,18258_A8,18276_G3,19914_A8,19906_A12,18042_A9,20026_A3,19909_D3,18049_H5,18259_B9,17332_F3,18047_F11,18045_D2,19910_E3,18049_H2,20027_B6,20036_D10,20028_C1,20028_C11,18265_C1,18275_F11,20036_D6,20030_E10,18263_A11,17332_F1,18261_D3,19911_F8,18260_C5,19908_C11,19908_C2,19906_A11,19907_B8,19907_B12,19909_D12,20030_E3,19912_G12,18043_B3,18259_B6,19910_E9,20036_D5,20027_B8,20029_D3,20027_B2,18265_C3,18089_H9,18258_A11,17331_E3,18043_B6,17331_E6,17329_C6,20031_F1,19910_E11,18261_D10,18265_C8,18266_D9,19910_E10,18268_F12,18043_B5,18314_D9,20038_F6,19914_A9,18042_A1,18045_D5,20030_E5,18276_G7,20032_G4,19911_F4,18261_D7,19911_F3,19914_A6,19910_E5,18088_G5,19914_A1,18273_D1,18316_F8,20034_B11,18314_D4,18311_A4,20042_D8,20036_D12,20034_B7,19917_D6,18265_C10,20029_D2,18263_A10,17332_F6,18269_G9,19911_F5,19906_A3,18313_C12,18268_F9,20035_C10,20028_C8,17329_C4,18048_G10,19914_A11,17333_G1,18275_F2,18276_G5,20029_D9,18276_G6,18274_E10,18275_F5,18263_A7,18268_F1,18266_D10,18269_G2,18044_C3,18268_F4,19910_E8,20029_D12,19907_B5,18043_B9,18259_B3,20027_B10,18272_C9,20042_D12,18273_D4,18274_E2,20047_D11,20031_F6,18276_G9,20026_A10,20037_E3,20035_C6,20028_C6,18267_E3,18276_G2,20035_C11,18266_D6,18313_C8,18317_G7,18267_E12,20029_D7,20030_E2,20028_C7,20027_B3,18272_C4,20027_B5,18270_A1,18274_E1,20039_A10,20039_A8,20047_D5,20039_A5,20048_E5,20040_B9,18317_G6,18253_C1,20048_E10,18272_C3,18266_D8,18266_D2,18266_D7,18275_F1,18268_F5,18271_B11,18251_A11,20037_E8,20038_F3
Mesenchyme1_only_protein	18264_B5,18267_E1,18273_D5,18259_B2,18048_G3,18049_H9,18088_G12,18089_H5,18269_G1,18087_F7,17331_E7,18259_B1,18042_A5,18260_C4,19906_A10,18089_H1,18088_G6,19907_B4,18261_D6,18087_F4,18269_G10,18269_G11,18261_D11,20028_C5,18264_B3,18258_A9,18261_D12,18261_D1,19910_E6,18260_C12,19911_F7,18259_B10,18262_E7,18268_F2,18265_C11,18263_A9,18268_F11,18260_C7,18044_C2,17330_D4,18088_G3,18259_B12,18044_C7,18044_C10,19907_B9,19913_H9,18046_E10,18047_F9,18042_A2,18269_G7,18259_B11,18258_A12,18261_D2,18258_A2,18043_B7,18046_E7,18044_C4,18269_G8,20026_A11,20026_A1,18089_H7,18089_H10,19913_H11,18047_F3,18045_D8,18088_G11,18042_A3,18049_H6,19912_G7,19910_E1,19906_A2,17332_F2,18047_F8,18048_G7,19910_E2,18048_G11,18043_B10,18258_A6,18043_B4,18045_D7,18089_H8,18258_A10,18047_F6,18046_E2,19908_C12,19913_H4,19914_A10,18047_F10,18048_G6,19908_C10,19913_H5,19910_E7,18045_D10,20030_E12,18264_B2,19908_C4,19909_D9,18046_E1,19909_D10,18049_H10,19907_B11,19913_H1,18266_D5,18264_B11,18266_D11,18263_A5,17327_A10,19914_A5,18311_A7
Chondrocyte_only_protein	18270_A3,18275_F12,18275_F9,18274_E5,18253_C4,18257_G3,20035_C8,18251_A6,18256_F3,18254_D9,18313_C2,18251_A7,18271_B4,18254_D3,18251_A10,18251_A1,18251_A12,20040_B4,20043_E3,18251_A2,18272_C5,18272_C10,18272_C7,18271_B9,20038_F12,20029_D4,18272_C11,18256_F11,20039_A9,18271_B6,18253_C8,18270_A10,18270_A12,20046_C5,20035_C4,18271_B5,20033_A3,20036_D3,18275_F7,18264_B4,18264_B6,20029_D6,20030_E1,18316_F1,18256_F8,20042_D5,20036_D4,20043_E5,20038_F2,20035_C9,18274_E9,18271_B10,18273_D11,18256_F1,18252_B10,20028_C12,20028_C2
EMP	20034_B3,19916_C5,18254_D10,18088_G8,20032_G2
Macrophage_only_protein	19912_G10,18313_C11,18312_B12,20046_C4,18252_B3,18316_F2,18255_E12,20043_E4,18255_E3,18312_B2
Endothelial_only_protein	17327_A9,19915_B2,19916_C10,19915_B8,19908_C1,20035_C3,18257_G4
Perichondrium_only_protein	18311_A1,18317_G5,18251_A8,18311_A12,20046_C6,19916_C6,18317_G1,18313_C3,20039_A2,18312_B5,20047_D9,20045_B1,20046_C12,18316_F10,20046_C9,20045_B10,20048_E2,20045_B9,20044_A1,20046_C10,19917_D4,18256_F6,18314_D11,20048_E1,19915_B7,20041_C11,18255_E6,18275_F4,19916_C3,18254_D7,19916_C11,18253_C12,18253_C9,18317_G9,20045_B2,20033_A4,20046_C1,18253_C5,19915_B4,18256_F9,18256_F5,20048_E4,20047_D4,20046_C11,19916_C7,20047_D1,18317_G8,18314_D2,18311_A8,18316_F9,20042_D6,18271_B1,20047_D3,18253_C7,18254_D4,18252_B5,20049_F2,20041_C4,20039_A3,18254_D1,20040_B7,20048_E6,20049_F8,18254_D11,18251_A4,18257_G2,18254_D8,18253_C6,20044_A6,18252_B2,18313_C6,20044_A4,20049_F7,20045_B4,20033_A6,18317_G3,20047_D2,20044_A2,20039_A6,20046_C3,18311_A2,18273_D3,20046_C2,20048_E9,20045_B11,20044_A11,20045_B12,19915_B12,19917_D5,19917_D2,19915_B3,20044_A3,20047_D10,18312_B1,18270_A9,18315_E2,20049_F1,18255_E1,18252_B4,18273_D9,20041_C12,18274_E8,20041_C5,20042_D1,20042_D3,20039_A11,20047_D12,20048_E3,20049_F4,20039_A7,20049_F5,18312_B9,20034_B9,20041_C6,20040_B3,18313_C4,18313_C5,18257_G5,20041_C10,20040_B8,20038_F9,19916_C4,20027_B1,20040_B10,18256_F4,18253_C3,18252_B9,18267_E5,18276_G4,18271_B12,18273_D12,20044_A9,20041_C7,20041_C9,20042_D7,20039_A12,18257_G8,20040_B5,18253_C10
