gene_index,cell_type
7166,1
7245,1
11888,1
1239,1
10343,1
10352,1
14775,1
11826,1
14881,1
15184,1
8923,1
9016,1
7291,1
10409,1
7306,1
4536,1
14887,1
9568,1
4552,1
15469,1
15204,1
7294,1
15430,1
15433,1
12702,1
5571,1
10353,1
7395,1
14108,1
4167,1
4538,1
7190,1
5009,1
2707,1
2171,1
9142,1
2750,1
15456,1
3640,1
8721,1
8833,1
13233,1
12003,1
15444,1
15189,1
15446,1
14773,1
13537,1
8738,1
4665,1
14784,1
10455,1
4237,1
3737,1
8663,1
14860,1
4539,1
15102,1
3220,1
2663,1
1581,1
6691,1
6895,1
14795,1
8177,1
15195,1
8975,1
7399,1
3496,1
10347,1
3513,1
2225,1
3371,1
2804,1
8641,1
4852,1
6747,1
5429,1
2722,1
3537,1
5548,1
12693,1
5277,1
15477,1
2546,1
11238,1
15478,1
14888,1
15436,1
15435,1
14814,1
14796,1
15434,1
2814,1
15197,1
13068,1
2819,1
12659,1
4645,1
4690,1
15441,1
15439,1
8802,1
11368,1
12935,1
6265,1
1387,1
7933,1
6159,1
6515,1
897,1
3936,1
15206,1
13507,1
10720,1
905,1
11342,1
2550,1
15219,1
2014,1
14853,1
8735,1
4658,1
10718,1
6940,1
10344,1
15442,1
15443,1
10218,1
4388,1
14871,1
14152,1
616,1
8503,1
13516,1
4646,1
4596,1
15487,1
541,1
14873,1
14902,1
14507,1
12787,1
20,1
2349,1
2523,1
6883,1
7326,1
3748,1
15034,1
7199,1
15079,1
1396,1
3557,1
1316,1
1881,1
9237,1
3538,1
11370,1
7230,1
4000,1
8653,1
1995,1
1368,1
9602,1
14904,1
2420,1
372,1
15495,1
7200,1
6902,1
7059,1
15599,1
14806,1
2703,1
14862,1
15485,1
15468,1
15110,1
12785,1
12782,1
8517,1
14891,1
14788,1
3509,1
8888,1
14894,1
7371,1
9163,1
9020,1
8977,1
2186,1
4529,1
1993,1
5451,1
8621,1
9203,1
14866,1
4654,1
14855,1
547,1
2000,1
1377,1
4692,1
7360,1
10378,1
5795,1
14789,1
15429,1
5599,1
15583,1
9017,1
13211,1
2133,1
9050,1
4087,1
10335,1
10535,1
9410,1
435,1
663,1
2216,1
2175,1
7368,1
4031,1
8657,1
8890,1
7367,1
4595,1
14786,1
14787,1
2807,1
2364,1
3215,1
11866,1
14800,1
15440,1
10615,1
7040,1
10359,1
2048,1
14801,1
14872,1
8190,1
2932,1
4259,1
2490,1
14883,1
261,1
7400,1
14815,1
15109,1
15253,1
1375,1
3414,1
15101,1
8315,1
95,1
13407,1
5783,1
14792,1
1603,1
15445,1
9786,1
2122,1
7365,1
5278,1
4011,1
14799,1
9817,1
10473,1
6680,1
14892,1
6475,1
4785,1
15616,1
9119,2
7364,2
7166,2
8674,2
14881,2
15399,2
8868,2
2391,2
7185,2
8685,2
9568,2
1589,2
7525,2
15433,2
4062,2
12172,2
5009,2
2707,2
8721,2
2159,2
612,2
8753,2
15444,2
15189,2
7512,2
8738,2
4237,2
4372,2
6157,2
4342,2
14795,2
4754,2
2993,2
7462,2
8780,2
4210,2
3703,2
2722,2
8562,2
11686,2
5277,2
6907,2
3053,2
15477,2
542,2
15470,2
7502,2
14888,2
7963,2
6991,2
7933,2
5240,2
15367,2
4061,2
6868,2
6367,2
4837,2
15380,2
7397,2
4658,2
10344,2
540,2
13516,2
2418,2
4646,2
15487,2
3813,2
8536,2
7285,2
7326,2
4048,2
3538,2
7230,2
12153,2
8653,2
3732,2
9602,2
14904,2
1205,2
9639,2
5760,2
6101,2
3417,2
3104,2
5298,2
3508,2
9098,2
14891,2
3247,2
6963,2
1938,2
255,2
3526,2
3323,2
6863,2
4339,2
9163,2
3761,2
15403,2
8621,2
9203,2
14866,2
3109,2
619,2
5599,2
8299,2
13211,2
301,2
7441,2
3797,2
7896,2
1392,2
7368,2
8719,2
14998,2
7367,2
5482,2
2249,2
13397,2
7533,2
9201,2
7309,2
9723,2
2876,2
8792,2
4018,2
3436,2
8190,2
8711,2
9230,2
14883,2
10757,2
7400,2
9144,2
1877,2
95,2
8687,2
4115,2
9716,2
9729,2
15282,2
9731,2
3239,2
5862,2
7365,2
14626,2
4014,2
9176,2
4011,2
5237,2
10833,2
3581,2
6587,2
10661,2
7340,2
8486,2
6480,2
6218,2
7364,3
6309,3
1651,3
1876,3
6276,3
7185,3
4060,3
9569,3
3381,3
558,3
8540,3
1937,3
3425,3
6729,3
3640,3
2606,3
15446,3
11932,3
11872,3
14784,3
1355,3
5498,3
2612,3
1801,3
4372,3
6895,3
8109,3
4186,3
11258,3
8819,3
9128,3
574,3
2344,3
15195,3
4830,3
4800,3
5218,3
3226,3
3053,3
607,3
5220,3
3181,3
542,3
1787,3
15470,3
7502,3
1859,3
15124,3
1665,3
5911,3
536,3
1933,3
2265,3
2240,3
7933,3
3316,3
15206,3
2287,3
1482,3
6057,3
3533,3
3144,3
5901,3
7337,3
774,3
3492,3
7246,3
11985,3
1858,3
1724,3
659,3
3336,3
2418,3
13365,3
6365,3
576,3
9495,3
3810,3
3467,3
13554,3
4007,3
6040,3
5962,3
6735,3
7197,3
8394,3
5639,3
5966,3
3876,3
9237,3
7396,3
6000,3
6533,3
5997,3
2426,3
1995,3
4704,3
6749,3
12671,3
7354,3
6391,3
6902,3
4257,3
3104,3
8012,3
8773,3
3247,3
10562,3
