cell type,hex,rgb float,rgb decimal
Muscle 3,#871f4e
Muscle 2,#ff8380
Muscle 1,#00ff00,"(0.0, 1.0, 0.0)","[0, 255, 0]"
Mesenchyme2,#c7c7c7,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)","[199, 199, 199]"
Mesenchyme,#e7e7e7,"(0.9058823529411765, 0.9058823529411765, 0.9058823529411765)","[231, 231, 231]"
Chondrocyte,#00ffff,"(0.0, 1.0, 1.0)","[0, 255, 255]"
EMP,#ff8000,"(1.0, 0.5, 0.0)","[255, 127, 0]"
Macrophage,#e6e600,"(0.9, 0.9, 0.0)","[229, 229, 0]"
Endothelial,#c39cfb
Perichondrium,#6666ff,"(0.4, 0.4, 1.0)","[102, 102, 255]"
Epithelial,#84994d,"(0.5176470588235295, 0.6, 0.30196078431372547)","[132, 153, 77]"
Neural Crest,#9834e7
