index	species	genome build	chromosome	start	end	element #	any activity
1	>Human	Hg19	chr16	86430087	86430726	 element 1 	 positive  
2	>Human	Hg19	chr16	85620095	85621736	 element 2 	 negative 
3	>Human	Hg19	chr16	80423343	80424652	 element 3 	 negative 
4	>Human	Hg19	chr16	80372593	80373755	 element 4 	 positive  
5	>Human	Hg19	chr16	79969907	79971297	 element 5 	 negative 
6	>Human	Hg19	chr16	79949950	79951518	 element 6 	 negative 
7	>Human	Hg19	chr16	79026563	79028162	 element 7 	 negative 
8	>Human	Hg19	chr16	78933253	78934686	 element 9 	 negative 
9	>Human	Hg19	chr16	78832182	78833595	 element 10 	 negative 
10	>Human	Hg19	chr16	78643215	78644831	 element 11 	 negative 
11	>Human	Hg19	chr16	78510608	78511944	 element 12 	 positive  
12	>Human	Hg19	chr16	78436409	78437708	 element 13 	 negative 
13	>Human	Hg19	chr16	78387021	78388685	 element 14 	 negative 
14	>Human	Hg19	chr16	78209751	78211362	 element 15 	 negative 
15	>Human	Hg19	chr16	72980900	72982545	 element 16 	 positive  
16	>Human	Hg19	chr16	72929878	72931288	 element 17 	 negative 
17	>Human	Hg19	chr16	72887593	72888513	 element 18 	 negative 
18	>Human	Hg19	chr16	72839562	72841124	 element 19 	 negative 
19	>Human	Hg19	chr16	72738568	72740149	 element 20 	 positive  
20	>Human	Hg19	chr16	72275206	72276782	 element 21 	 negative 
21	>Human	Hg19	chr16	72254566	72255825	 element 22 	 positive  
22	>Human	Hg19	chr16	55424416	55425738	 element 23 	 positive  
23	>Human	Hg19	chr16	55418032	55418881	 element 24 	 negative 
24	>Human	Hg19	chr16	55240593	55241874	 element 25 	 negative 
25	>Human	Hg19	chr16	55223185	55224283	 element 26 	 positive  
26	>Human	Hg19	chr16	55079237	55080429	 element 27 	 positive  
27	>Human	Hg19	chr16	55074360	55075075	 element 28 	 negative 
28	>Human	Hg19	chr16	54799102	54800160	 element 31 	 negative 
29	>Human	Hg19	chr16	54784643	54785615	 element 32 	 negative 
30	>Human	Hg19	chr16	54679467	54680359	 element 34 	 negative 
31	>Human	Hg19	chr16	54665329	54667258	 element 35 	 negative 
32	>Human	Hg19	chr16	54657182	54658317	 element 36 	 negative 
33	>Human	Hg19	chr16	54650598	54651882	 element 37 	 positive  
34	>Human	Hg19	chr16	54624504	54625510	 element 38 	 negative 
35	>Human	Hg19	chr16	54618981	54620264	 element 39 	 negative 
36	>Human	Hg19	chr16	54611467	54612437	 element 41 	 negative 
37	>Human	Hg19	chr16	54579726	54580655	 element 42 	 negative 
38	>Human	Hg19	chr16	54575878	54577925	 element 43 	 positive  
39	>Human	Hg19	chr16	54616212	54617037	 element 44 	 negative 
40	>Human	Hg19	chr16	54523175	54524067	 element 46 	 negative 
41	>Human	Hg19	chr16	54540302	54541446	 element 47 	 negative 
42	>Human	Hg19	chr16	54385019	54385639	 element 49 	 negative 
43	>Human	Hg19	chr16	54350345	54351685	 element 50 	 negative 
44	>Human	Hg19	chr16	54323420	54324336	 element 51 	 positive  
45	>Human	Hg19	chr16	54143854	54144867	 element 52 	 positive  
46	>Human	Hg19	chr16	54139806	54140268	 element 53 	 negative 
47	>Human	Hg19	chr16	54092614	54094121	 element 55 	 negative 
48	>Human	Hg19	chr16	53929213	53929824	 element 57 	 negative 
49	>Human	Hg19	chr16	53760298	53761157	 element 58 	 negative 
50	>Human	Hg19	chr16	53726316	53727556	 element 59 	 positive  
51	>Human	Hg19	chr16	53578034	53578985	 element 60 	 negative 
52	>Human	Hg19	chr16	52530541	52531971	 element 62 	 negative 
53	>Human	Hg19	chr16	52503834	52504926	 element 63 	 negative 
54	>Human	Hg19	chr16	52436255	52437376	 element 64 	 negative 
55	>Human	Hg19	chr16	51958288	51959688	 element 65 	 positive  
56	>Human	Hg19	chr16	51817305	51818432	 element 66 	 negative 
57	>Human	Hg19	chr16	51786180	51787369	 element 68 	 negative 
58	>Human	Hg19	chr16	51757191	51758243	 element 69 	 negative 
59	>Human	Hg19	chr16	51732148	51733614	 element 70 	 negative 
60	>Human	Hg19	chr16	51671181	51672039	 element 71 	 positive  
61	>Human	Hg19	chr16	51657810	51658716	 element 72 	 positive  
62	>Human	Hg19	chr16	51576725	51578101	 element 73 	 positive  
63	>Human	Hg19	chr16	51560196	51560925	 element 74 	 positive  
64	>Human	Hg19	chr16	51389295	51390719	 element 75 	 negative 
65	>Human	Hg19	chr16	51231121	51232362	 element 76 	 positive  
66	>Human	Hg19	chr16	51129207	51130306	 element 77 	 negative 
67	>Human	Hg19	chr16	51106148	51107109	 element 78 	 negative 
68	>Human	Hg19	chr16	51056311	51057592	 element 79 	 positive  
69	>Human	Hg19	chr16	51042253	51043115	 element 80 	 negative 
70	>Human	Hg19	chr16	51010690	51011608	 element 81 	 negative 
71	>Human	Hg19	chr16	50982029	50982689	 element 82 	 negative 
72	>Human	Hg19	chr16	50977028	50978183	 element 83 	 negative 
73	>Human	Hg19	chr16	50874863	50875709	 element 84 	 negative 
74	>Human	Hg19	chr16	50848355	50849656	 element 85 	 negative 
75	>Human	Hg19	chr16	31733057	31734604	 element 86 	 negative 
76	>Human	Hg19	chr16	7758525	7759863	 element 87 	 negative 
77	>Human	Hg19	chr16	7418980	7419830	 element 88 	 negative 
78	>Human	Hg19	chr16	6548841	6550064	 element 90 	 negative 
79	>Human	Hg19	chr16	7431988	7433156	 element 91 	 negative 
80	>Human	Hg19	chr16	7886533	7888033	 element 92 	 negative 
81	>Human	Hg19	chr16	8133046	8134289	 element 93 	 negative 
82	>Human	Hg19	chr16	8431303	8432558	 element 94 	 negative 
83	>Human	Hg19	chr16	17096348	17097253	 element 95 	 negative 
84	>Human	Hg19	chr16	17745104	17746413	 element 96 	 negative 
85	>Human	Hg19	chr16	18240361	18241096	 element 97 	 negative 
86	>Human	Hg19	chr16	22684122	22685282	 element 98 	 negative 
87	>Human	Hg19	chr16	25759215	25760529	 element 99 	 negative 
88	>Human	Hg19	chr16	26226210	26227347	 element 100 	 negative 
89	>Human	Hg19	chr16	48912816	48914144	 element 101 	 positive  
90	>Human	Hg19	chr16	59629741	59631254	 element 102 	 negative 
91	>Human	Hg19	chr16	60683721	60685186	 element 103 	 negative 
92	>Human	Hg19	chr16	61243163	61244434	 element 104 	 negative 
93	>Human	Hg19	chr16	62942559	62944021	 element 105 	 negative 
94	>Human	Hg19	chr16	64651540	64652894	 element 106 	 negative 
95	>Human	Hg19	chr16	8238189	8239787	 element 107 	 negative 
96	>Human	Hg19	chr16	72404533	72407591	 element 108 	 positive  
97	>Human	Hg19	chr16	73352312	73354585	 element 109 	 negative 
98	>Human	Hg19	chr7	21003280	21004750	 element 110 	 positive  
99	>Human	Hg19	chr7	42191728	42193638	 element 111 	 positive  
100	>Human	Hg19	chr9	973435	975288	 element 112 	 positive  
101	>Human	Hg19	chr11	32197490	32198734	 element 113 	 positive  
102	>Human	Hg19	chrX	24822603	24824623	 element 116 	 negative 
103	>Human	Hg19	chrX	24864231	24865733	 element 117 	 negative 
104	>Human	Hg19	chrX	24894335	24896084	 element 118 	 positive  
105	>Human	Hg19	chrX	24915382	24918272	 element 119 	 positive  
106	>Human	Hg19	chrX	24945648	24947567	 element 120 	 negative 
107	>Human	Hg19	chrX	25007879	25009581	 element 121 	 positive  
108	>Human	Hg19	chrX	25017067	25018756	 element 122 	 positive  
109	>Human	Hg19	chrX	25400224	25402334	 element 123 	 positive  
110	>Human	Hg19	chr16	49094466	49095242	 element 124 	 positive  
111	>Human	Hg19	chr16	59574986	59575985	 element 125 	 negative 
112	>Human	Hg19	chr13	71343609	71344868	 element 126 	 positive  
113	>Human	Hg19	chr13	71722458	71724962	 element 128 	 negative 
114	>Human	Hg19	chr13	71774848	71775368	 element 129 	 positive  
115	>Human	Hg19	chr13	72771271	72773876	 element 131 	 positive  
116	>Human	Hg19	chr13	73006141	73006976	 element 132 	 negative 
117	>Human	Hg19	chr13	73067601	73068380	 element 133 	 negative 
118	>Human	Hg19	chr13	73078567	73079883	 element 134 	 negative 
119	>Human	Hg19	chr13	73149054	73150028	 element 135 	 positive  
120	>Human	Hg19	chr13	71793422	71795334	 element 136 	 negative 
121	>Human	Hg19	chr13	72300849	72302934	 element 137 	 positive  
122	>Human	Hg19	chr13	72425787	72428335	 element 138 	 positive  
123	>Human	Hg19	chr13	72693676	72695292	 element 140 	 negative 
124	>Human	Hg19	chr13	73001083	73003053	 element 141 	 positive  
125	>Human	Hg19	chr13	73081447	73083754	 element 142 	 positive  
126	>Human	Hg19	chr13	73087012	73088821	 element 143 	 negative 
127	>Human	Hg19	chr13	73224400	73225906	 element 144 	 negative 
128	>Human	Hg19	chrX	25018871	25020532	 element 145 	 positive  
129	>Human	Hg19	chr2	45066752	45070624	 element 148 	 negative 
130	>Human	Hg19	chr2	45106927	45107653	 element 149 	 positive  
131	>Human	Hg19	chr2	45128095	45129317	 element 150 	 negative 
132	>Human	Hg19	chr16	55329289	55330760	 element 151 	 positive  
133	>Human	Hg19	chr16	51147012	51148642	 element 152 	 positive  
134	>Human	Hg19	chr16	52557406	52558785	 element 153 	 negative 
135	>Human	Hg19	chr16	52242610	52244077	 element 154 	 negative 
136	>Human	Hg19	chr16	53948201	53949846	 element 155 	 positive  
137	>Human	Hg19	chr16	53994058	53995943	 element 156 	 positive  
138	>Human	Hg19	chr16	53986630	53988193	 element 157 	 positive  
139	>Human	Hg19	chr16	79381526	79382736	 element 159 	 negative 
140	>Human	Hg19	chr16	51853597	51854931	 element 160 	 negative 
141	>Human	Hg19	chr16	52446050	52447237	 element 161 	 positive  
142	>Human	Hg19	chr16	50869692	50871098	 element 162 	 positive  
143	>Human	Hg19	chr16	78397855	78398920	 element 163 	 negative 
144	>Human	Hg19	chr16	52551597	52552835	 element 164 	 negative 
145	>Human	Hg19	chr16	72623665	72625217	 element 165 	 negative 
146	>Human	Hg19	chr16	54249594	54251153	 element 166 	 negative 
147	>Human	Hg19	chr16	54132651	54133957	 element 167 	 negative 
148	>Human	Hg19	chr1	63443534	63444884	 element 168 	 positive  
149	>Human	Hg19	chr1	63464282	63465717	 element 169 	 positive  
150	>Human	Hg19	chr2	164450144	164451758	 element 170 	 positive  
151	>Human	Hg19	chr4	4819733	4820560	 element 171 	 negative 
152	>Human	Hg19	chr5	77020605	77022508	 element 172 	 negative 
153	>Human	Hg19	chr7	1267832	1269169	 element 173 	 negative 
154	>Human	Hg19	chr1	87821621	87823082	 element 174 	 positive  
155	>Human	Hg19	chr1	216772416	216773458	 element 175 	 negative 
156	>Human	Hg19	chr13	72938917	72940565	 element 176 	 negative 
157	>Human	Hg19	chr17	35447270	35448478	 element 177 	 negative 
158	>Human	Hg19	chr15	68079283	68080713	 element 178 	 negative 
159	>Human	Hg19	chr5	3226121	3227484	 element 180 	 negative 
160	>Human	Hg19	chr15	37240805	37242498	 element 181 	 positive  
161	>Human	Hg19	chr13	72255836	72257039	 element 182 	 negative 
162	>Human	Hg19	chr11	8275137	8276335	 element 183 	 negative 
163	>Human	Hg19	chr15	97391638	97393001	 element 184 	 negative 
164	>Human	Hg19	chr9	128406147	128407653	 element 185 	 negative 
165	>Human	Hg19	chr9	129198400	129200739	 element 186 	 positive  
166	>Human	Hg19	chr3	71290418	71292584	 element 187 	 positive  
167	>Human	Hg19	chr13	72345980	72348230	 element 188 	 positive  
168	>Human	Hg19	chr13	95618516	95619850	 element 189 	 positive  
169	>Human	Hg19	chr7	115313238	115315056	 element 190 	 negative 
170	>Human	Hg19	chr5	91036888	91038899	 element 191 	 positive  
171	>Human	Hg19	chr3	180773639	180775802	 element 192 	 positive  
172	>Human	Hg19	chr1	51034546	51036289	 element 194 	 positive  
173	>Human	Hg19	chr8	106333530	106334859	 element 195 	 positive  
174	>Human	Hg19	chr9	968797	970093	 element 196 	 negative 
175	>Human	Hg19	chr1	51098841	51099913	 element 197 	 negative 
